Ageing Time,C4 (Pred),C4 (Pred)*,C4,AE,SE,RMSE
95.46218487,79.34159664,79.34159664,79.34159664,0,0,
95.68627451,79.31732026,79.31732026,79.31732026,0,0,
95.91036415,79.29304388,79.29304388,79.29304388,0,0,
96.13445378,79.26876751,79.26876751,79.26876751,0,0,
96.35854342,79.24449113,79.24449113,79.24449113,0,0,
96.58263305,79.22021475,79.22021475,79.22021475,0,0,
96.80672269,79.19593838,79.19593838,79.19593838,0,0,
97.03081232,79.171662,79.171662,79.171662,0,0,
97.25490196,79.14738562,79.14738562,79.14738562,0,0,
97.4789916,79.12310924,79.12310924,79.12310924,0,0,
97.70308123,79.09883287,79.09883287,79.09883287,0,0,
97.92717087,79.07455649,79.07455649,79.07455649,0,0,
98.1512605,79.05028011,79.05028011,79.05028011,0,0,
98.37535014,79.02600373,79.02600373,79.02600373,0,0,
98.59943978,79.00172736,79.00172736,79.00172736,0,0,
98.82352941,78.97745098,78.97745098,78.97745098,0,0,
99.04761905,78.9531746,78.9531746,78.9531746,0,0,
99.27170868,78.92889823,78.92889823,78.92889823,0,0,
99.49579832,78.90462185,78.90462185,78.90462185,0,0,
99.71988796,78.88034547,78.88034547,78.88034547,0,0,
99.94397759,78.85606909,78.85606909,78.85606909,0,0,
100.1680672,78.83179272,78.83179272,78.83179272,0,0,
100.3921569,78.80751634,78.80751634,78.80751634,0,0,
100.6162465,78.78323996,78.78323996,78.78323996,0,0,
100.8403361,78.75896359,78.75896359,78.75896359,0,0,
101.0644258,78.73468721,78.73468721,78.73468721,0,0,
101.2885154,78.71041083,78.71041083,78.71041083,0,0,
101.512605,78.68613445,78.68613445,78.68613445,0,0,
101.7366947,78.66185808,78.66185808,78.66185808,0,0,
101.9607843,78.6375817,78.6375817,78.6375817,0,0,
102.1848739,78.61330532,78.61330532,78.61330532,0,0,
102.4089636,78.58902894,78.58902894,78.58902894,0,0,
102.6330532,78.56475257,78.56475257,78.56475257,0,0,
102.8571429,78.54047619,78.54047619,78.54047619,0,0,
103.0812325,78.51619981,78.51619981,78.51619981,0,0,
103.3053221,78.49192344,78.49192344,78.49192344,0,0,
103.5294118,78.46764706,78.46764706,78.46764706,0,0,
103.7535014,78.44337068,78.44337068,78.44337068,0,0,
103.977591,78.4190943,78.4190943,78.4190943,0,0,
104.2016807,78.39481793,78.39481793,78.39481793,0,0,
104.4257703,78.37054155,78.37054155,78.37054155,0,0,
104.6498599,78.34626517,78.34626517,78.34626517,0,0,
104.8739496,78.3219888,78.3219888,78.3219888,0,0,
105.0980392,78.29771242,78.29771242,78.29771242,0,0,
105.3221289,78.27343604,78.27343604,78.27343604,0,0,
105.5462185,78.24915966,78.24915966,78.24915966,0,0,
105.7703081,78.22488329,78.22488329,78.22488329,0,0,
105.9943978,78.20060691,78.20060691,78.20060691,0,0,
106.2184874,78.17633053,78.17633053,78.17633053,0,0,
106.442577,78.15205415,78.15205415,78.15205415,0,0,
106.6666667,78.12777778,78.12777778,78.12777778,0,0,
106.8907563,78.1035014,78.1035014,78.1035014,0,0,
107.1148459,78.07922502,78.07922502,78.07922502,0,0,
107.3389356,78.05494865,78.05494865,78.05494865,0,0,
107.5630252,78.03067227,78.03067227,78.03067227,0,0,
107.7871148,78.00639589,78.00639589,78.00639589,0,0,
108.0112045,77.98211951,77.98211951,77.98211951,0,0,
108.2352941,77.95784314,77.95784314,77.95784314,0,0,
108.4593838,77.93356676,77.93356676,77.93356676,0,0,
108.6834734,77.90929038,77.90929038,77.90929038,0,0,
108.907563,77.88501401,77.88501401,77.88501401,0,0,
109.1316527,77.86073763,77.86073763,77.86073763,0,0,
109.3557423,77.83646125,77.83646125,77.83646125,0,0,
109.5798319,77.81218487,77.81218487,77.81218487,0,0,
109.8039216,77.7879085,77.7879085,77.7879085,0,0,
110.0280112,77.76363212,77.76363212,77.76363212,0,0,
110.2521008,77.73935574,77.73935574,77.73935574,0,0,
110.4761905,77.71507937,77.71507937,77.71507937,0,0,
110.7002801,77.69080299,77.69080299,77.69080299,0,0,
110.9243697,77.66652661,77.66652661,77.66652661,0,0,
111.1484594,77.64225023,77.64225023,77.64225023,0,0,
111.372549,77.61797386,77.61797386,77.61797386,0,0,
111.5966387,77.59369748,77.59369748,77.59369748,0,0,
111.8207283,77.5694211,77.5694211,77.5694211,0,0,
112.0448179,77.54514472,77.54514472,77.54514472,0,0,
